ray211,123456,798134093@qq.com,15255212222,最喜欢看的书,秦砖,注册成功,测试不通过
ray212,123456,798134093@qq.com,15255212222,最喜欢的水果,芒果,注册成功,测试不通过
ray213,123457,798134094@qq.com,15255212223,最喜欢看的书,秦砖,用户名已存在,测试不通过
ray214,,798134095@qq.com,15255212224,最喜欢看的书,秦砖,请输入密码,测试不通过
ray215,123459,,15255212225,最喜欢看的书,秦砖,邮箱不存在,测试不通过
ray216,123460,798134097@qq.com,,最喜欢看的书,秦砖,手机号不存在,测试不通过
ray217,123461,798134098@qq.com,15255212227,,秦砖,请输入问题,测试不通过
ray218,123462,798134099@qq.com,15255212228,最喜欢看的书,,请输入答案,测试不通过
,,798134093@qq.com,15255212211,最喜欢看的书,秦砖,请输入用户名,测试不通过
,,,,最喜欢看水果,苹果,请输入用户名,测试不通过
,,,,,秦砖,请输入用户名,测试不通过
,,,,,,请输入用户名,测试不通过
